threads,sec,us
1,73,133904
1,73,128971
1,73,128299
1,73,478127
1,73,184179
1,73,531803
1,73,399160
1,73,124591
1,73,135497
1,73,654100
1,73,122897
1,73,127024
1,73,714559
1,73,143052
1,73,587308
1,73,139168
1,73,321935
1,73,157079
1,73,120385
1,73,490588
2,36,797239
4,18,388878
8,17,108580
16,17,35939
2,36,828556
4,18,408323
8,17,101669
16,17,210601
2,36,930654
4,18,459216
8,17,100897
16,17,32450
2,36,782718
4,18,380391
8,17,99959
16,16,995548
2,36,725900
4,18,342207
8,17,382681
16,17,162008
2,36,780798
4,18,381858
8,17,105581
16,17,159535
2,36,782302
4,18,379278
8,17,99654
16,17,64087
2,36,728106
4,18,357001
8,17,101849
16,17,17315
2,36,776703
4,31,303308
8,18,547878
16,17,453041
2,36,785774
4,18,385815
8,17,98881
16,17,205325
2,36,763291
4,18,356852
8,17,101279
16,17,95143
2,36,785400
4,18,382469
8,17,100123
16,17,239173
2,36,847421
4,18,415314
8,17,101022
16,17,131637
2,36,704993
4,18,343473
8,17,111243
16,17,22995
2,36,789168
4,28,605067
8,17,100907
16,17,425112
2,36,776985
4,18,377255
8,17,100734
16,17,49575
2,36,834201
4,18,391880
8,18,548091
16,17,284616
2,36,789543
4,18,388344
8,17,103838
16,17,154881
2,36,777966
4,18,379978
8,17,107820
16,16,999425
2,36,781381
4,18,381765
8,17,102957
16,17,116024
unroll,sec,us
