threads,sec,us
1,74,7523
1,74,98990
1,73,918909
1,74,31790
1,74,195657
1,73,355861
1,74,58881
1,73,980981
1,73,999762
1,73,958555
1,74,36286
1,74,63665
1,73,847891
1,73,954051
1,74,109717
1,73,994556
1,74,109186
1,74,107903
1,73,955917
1,74,265406
2,37,56325
4,18,530439
8,17,614623
16,17,526587
2,37,28027
4,18,526819
8,17,831572
16,17,798382
2,37,52410
4,18,535533
8,17,659096
16,17,520926
2,37,27086
4,18,512366
8,17,661136
16,17,513019
2,37,57530
4,18,515387
8,17,934942
16,17,651519
2,37,7043
4,27,962611
8,17,860152
16,17,549300
2,36,917795
4,19,856959
8,17,787000
16,17,502568
2,37,51815
4,18,533044
8,17,925908
16,17,623619
2,37,13962
4,29,975295
8,19,305714
16,18,16025
2,37,55172
4,18,519391
8,17,942344
16,17,522046
2,37,84776
4,18,521587
8,17,934628
16,17,580330
2,37,93935
4,18,534445
8,17,936304
16,17,558602
2,37,76164
4,18,528977
8,17,631107
16,17,509949
2,37,48249
4,31,880719
8,17,632385
16,17,562211
2,37,8801
4,27,333496
8,17,615409
16,17,800085
2,37,15035
4,18,508002
8,17,932123
16,17,596433
2,37,48269
4,18,516493
8,19,347353
16,18,61340
2,36,834071
4,18,438565
8,17,756772
16,17,794961
2,37,53714
4,18,517044
8,17,762303
16,17,512819
2,37,16865
4,18,513790
8,17,928653
16,17,524012
