filter length,sec,us
512,70,52511
512,70,47829
512,70,79185
512,70,56868
512,70,53954
512,70,98921
512,70,68501
512,70,50129
512,70,50450
512,70,164413
512,70,50996
512,70,76249
512,70,96313
512,70,69714
512,70,75276
512,70,50554
512,70,14278
512,70,53370
512,70,52888
512,70,52185
512,70,91129
512,70,52913
512,70,47268
512,70,45842
512,70,73785
512,70,31974
512,70,27843
512,70,30256
512,69,982416
512,69,937093
512,69,936967
512,69,937233
512,70,54269
512,70,8794
512,70,7111
512,70,8460
512,70,95318
512,70,39044
512,70,39584
512,70,40136
512,70,54644
512,70,7697
512,70,8268
512,70,567
512,70,82300
512,70,44365
512,70,41250
512,70,44713
512,70,46021
512,69,998966
512,70,5123
512,70,4028
512,70,75153
512,70,30031
512,70,29791
512,70,38667
512,70,55763
512,70,9941
512,70,15001
512,70,6053
512,70,86596
512,70,43812
512,70,45202
512,70,41549
512,70,56059
512,70,11275
512,70,12916
512,70,6618
512,70,145166
512,70,103986
512,70,103297
512,70,94889
512,70,58467
512,70,8009
512,70,9593
512,70,115
512,70,52106
512,70,7369
512,70,6514
512,69,999995
512,70,53571
512,70,7835
512,70,7901
512,70,7573
512,70,47411
512,70,9454
512,70,1013
512,70,5397
512,70,87869
512,70,42953
512,70,42240
512,70,37449
512,70,54958
512,70,11501
512,70,12251
512,70,868
512,70,50377
512,70,12338
512,70,7063
512,70,3180
