filter length,sec,us
1,0,197679
2,0,310970
4,0,622204
8,1,243748
16,2,487785
32,4,975612
64,9,952938
128,19,908167
256,39,821830
512,79,678046
1024,159,302897
1,0,197611
2,0,310859
4,0,621792
8,1,243846
16,2,488455
32,4,975643
64,9,952619
128,19,904206
256,39,805846
512,79,666160
1024,159,281462
1,0,197862
2,0,310919
4,0,622016
8,1,244242
16,2,489643
32,4,978973
64,9,955186
128,19,906759
256,39,813398
512,79,656978
1024,159,279397
1,0,197691
2,0,311200
4,0,622601
8,1,245445
16,2,491078
32,4,981128
64,9,959735
128,19,919187
256,39,842408
512,79,689364
1024,159,359523
1,0,198109
2,0,311593
4,0,621874
8,1,245308
16,2,491212
32,4,981342
64,9,972208
128,19,925772
256,39,842952
512,79,670730
1024,159,330369
1,0,197793
2,0,310854
4,0,621863
8,1,244352
16,2,488975
32,4,977109
64,9,953905
128,19,912807
256,39,866359
512,79,687706
1024,159,307834
1,0,197694
2,0,311096
4,0,622155
8,1,244843
16,2,489850
32,4,980013
64,9,957839
128,19,913386
256,39,864577
512,79,684400
1024,159,300919
1,0,197848
2,0,310629
4,0,621695
8,1,244124
16,2,488499
32,4,977283
64,9,952350
128,19,904551
256,39,808847
512,79,676044
1024,159,303387
1,0,198431
2,0,311207
4,0,622657
8,1,245138
16,2,491091
32,4,982005
64,9,961108
128,19,924325
256,39,869350
512,79,695687
1024,159,331292
1,0,197684
2,0,311575
4,0,622247
8,1,244493
16,2,490440
32,4,993361
64,9,970416
128,19,934180
256,39,865744
512,79,705766
1024,159,422911
1,0,198194
2,0,310932
4,0,621962
8,1,244208
16,2,488948
32,4,977849
64,9,953273
128,19,907854
256,39,811959
512,79,657100
1024,159,256056
1,0,198827
2,0,313601
4,0,626620
8,1,254173
16,2,509623
32,5,8382
64,9,992238
128,19,956767
256,39,885391
512,79,751478
1024,159,427944
1,0,198291
2,0,310960
4,0,621955
8,1,244379
16,2,489537
32,4,977748
64,9,956533
128,19,914579
256,39,865802
512,79,690160
1024,159,302914
1,0,197596
2,0,310797
4,0,621916
8,1,244147
16,2,488811
32,4,976473
64,9,952805
128,19,906185
256,39,812238
512,79,639452
1024,159,283943
1,0,198536
2,0,312703
4,0,626198
8,1,253120
16,2,509147
32,5,11863
64,9,995970
128,19,961707
256,39,890449
512,79,736993
1024,159,452303
1,0,197488
2,0,310215
4,0,620761
8,1,240693
16,2,481859
32,4,963168
64,9,924663
128,19,853016
256,39,709967
512,79,437731
1024,158,894289
1,0,198879
2,0,311340
4,0,622810
8,1,246118
16,2,491561
32,4,984069
64,9,964330
128,19,947568
256,39,883051
512,79,722387
1024,159,397413
1,0,198653
2,0,311078
4,0,622356
8,1,245787
16,2,491133
32,4,982605
64,9,963541
128,19,958624
256,39,878133
512,79,722942
1024,159,393707
1,0,198468
2,0,311018
4,0,622414
8,1,244632
16,2,489730
32,4,979517
64,9,956012
128,19,906148
256,39,858953
512,79,658756
1024,159,277375
1,0,198003
2,0,311071
4,0,621972
8,1,244086
16,2,488656
32,4,977452
64,9,953536
128,19,904655
256,39,851071
512,79,664202
1024,159,257888
